Axis,Group,AUROC,Mean_Risk,False_Safe_Rate
driver_id,101,0.5621267272408633,0.2856011790641516,0.9870285714285715
driver_id,105,0.5592136815548656,0.2849102488130539,0.9896640826873385
driver_id,103,0.5642118048134265,0.2872540740729948,0.9845418774592468
driver_id,102,0.5609656063055104,0.28590925397993905,0.9842120101494221
driver_id,104,0.5554199540626505,0.2856449947537185,0.9870239774330042
vehicle_id,1001,0.5634138381010348,0.28581658373901936,0.9859516875107076
vehicle_id,2002,0.5594824432758795,0.2865944593299652,0.9862359550561798
vehicle_id,5005,0.5473194887240618,0.28557630201649853,0.9874125874125874
vehicle_id,3003,0.565270982787266,0.2845101660967286,0.9876365727429557
vehicle_id,4004,0.5627169583990108,0.2852992016006137,0.9874141876430206
weather_conditions,Sunny,0.5540801691423656,0.2856855038448658,0.9870597274455093
weather_conditions,Cloudy,0.5653871163754105,0.285583554006949,0.9880749574105622
weather_conditions,Foggy,0.5873751302542537,0.2862833494491442,0.9833964462569181
weather_conditions,Rainy,0.5807079256222711,0.2859750292875249,0.9836956521739131
road_type,Urban,0.5490229341536724,0.2858891160503468,0.9880183027501297
road_type,Highway,0.5872796977310808,0.2856942609087639,0.9840654608096469
road_type,Rural,0.5716687515846952,0.2854585153132216,0.9841767640769779
